region,name,base,instagram,youtube,cafe,blog,search,status,issue
"okdong","가온누리국어학원","가온누리국어학원 울산 옥동","가온누리국어학원 울산 옥동 인스타그램","가온누리국어학원 울산 옥동 유튜브","가온누리국어학원 울산 옥동 네이버카페","가온누리국어학원 울산 옥동 블로그","가온누리국어학원 울산 옥동","OK",""
"okdong","가온수학전문학원","가온수학전문학원 울산 옥동","가온수학전문학원 울산 옥동 인스타그램","가온수학전문학원 울산 옥동 유튜브","가온수학전문학원 울산 옥동 네이버카페","가온수학전문학원 울산 옥동 블로그","가온수학전문학원 울산 옥동","OK",""
"okdong","갑영어전문학원","갑영어전문학원 울산 옥동","갑영어전문학원 울산 옥동 인스타그램","갑영어전문학원 울산 옥동 유튜브","갑영어전문학원 울산 옥동 네이버카페","갑영어전문학원 울산 옥동 블로그","갑영어전문학원 울산 옥동","OK",""
"okdong","강의하는아이들수학학원","강의하는아이들수학학원 울산 옥동","강의하는아이들수학학원 울산 옥동 인스타그램","강의하는아이들수학학원 울산 옥동 유튜브","강의하는아이들수학학원 울산 옥동 네이버카페","강의하는아이들수학학원 울산 옥동 블로그","강의하는아이들수학학원 울산 옥동","OK",""
"okdong","개념있는학원","개념있는학원 울산 옥동","개념있는학원 울산 옥동 인스타그램","개념있는학원 울산 옥동 유튜브","개념있는학원 울산 옥동 네이버카페","개념있는학원 울산 옥동 블로그","개념있는학원 울산 옥동","OK",""
"okdong","고대사탐논술학원","고대사탐논술학원 울산 옥동","고대사탐논술학원 울산 옥동 인스타그램","고대사탐논술학원 울산 옥동 유튜브","고대사탐논술학원 울산 옥동 네이버카페","고대사탐논술학원 울산 옥동 블로그","고대사탐논술학원 울산 옥동","OK",""
"okdong","고려수학전문학원","고려수학전문학원 울산 옥동","고려수학전문학원 울산 옥동 인스타그램","고려수학전문학원 울산 옥동 유튜브","고려수학전문학원 울산 옥동 네이버카페","고려수학전문학원 울산 옥동 블로그","고려수학전문학원 울산 옥동","OK",""
"okdong","공감수학전문학원","공감수학전문학원 울산 옥동","공감수학전문학원 울산 옥동 인스타그램","공감수학전문학원 울산 옥동 유튜브","공감수학전문학원 울산 옥동 네이버카페","공감수학전문학원 울산 옥동 블로그","공감수학전문학원 울산 옥동","OK",""
"okdong","과학은배쌤브레인킹덤과학학원","과학은배쌤브레인킹덤과학학원 울산 옥동","과학은배쌤브레인킹덤과학학원 울산 옥동 인스타그램","과학은배쌤브레인킹덤과학학원 울산 옥동 유튜브","과학은배쌤브레인킹덤과학학원 울산 옥동 네이버카페","과학은배쌤브레인킹덤과학학원 울산 옥동 블로그","과학은배쌤브레인킹덤과학학원 울산 옥동","OK",""
"okdong","교당과학수학전문학원","교당과학수학전문학원 울산 옥동","교당과학수학전문학원 울산 옥동 인스타그램","교당과학수학전문학원 울산 옥동 유튜브","교당과학수학전문학원 울산 옥동 네이버카페","교당과학수학전문학원 울산 옥동 블로그","교당과학수학전문학원 울산 옥동","OK",""
"okdong","교당학원","교당학원 울산 옥동","교당학원 울산 옥동 인스타그램","교당학원 울산 옥동 유튜브","교당학원 울산 옥동 네이버카페","교당학원 울산 옥동 블로그","교당학원 울산 옥동","OK",""
"okdong","국어상자윤석민국어교습소","국어상자윤석민국어교습소 울산 옥동","국어상자윤석민국어교습소 울산 옥동 인스타그램","국어상자윤석민국어교습소 울산 옥동 유튜브","국어상자윤석민국어교습소 울산 옥동 네이버카페","국어상자윤석민국어교습소 울산 옥동 블로그","국어상자윤석민국어교습소 울산 옥동","OK",""
"okdong","국자감국어전문학원","국자감국어전문학원 울산 옥동","국자감국어전문학원 울산 옥동 인스타그램","국자감국어전문학원 울산 옥동 유튜브","국자감국어전문학원 울산 옥동 네이버카페","국자감국어전문학원 울산 옥동 블로그","국자감국어전문학원 울산 옥동","OK",""
"okdong","권재길수학전문학원","권재길수학전문학원 울산 옥동","권재길수학전문학원 울산 옥동 인스타그램","권재길수학전문학원 울산 옥동 유튜브","권재길수학전문학원 울산 옥동 네이버카페","권재길수학전문학원 울산 옥동 블로그","권재길수학전문학원 울산 옥동","OK",""
